"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2464","Verify Plawright Locators","chromium","2026-07-21","failed","2026-07-21","","","",""
"","16996","Forgot Password Test","chromium","2026-07-21","failed","2026-07-21","","","",""
"","530","get started link","chromium","2026-07-21","passed","2026-07-21","","","",""
"","7512","lab test","chromium","2026-07-21","passed","2026-07-21","","","",""
"","422","has title","chromium","2026-07-21","passed","2026-07-21","","","",""
"","16957","Setup","setup","2026-07-21","passed","2026-07-21","","","",""
"","243","Teardown","teardown","2026-07-21","passed","2026-07-21","","","",""
"","5241","Verify the title","chromium","2026-07-21","failed","2026-07-21","","","",""
"","12616","login, open FAQs, logout, and return to login page","chromium","2026-07-21","passed","2026-07-21","","","",""
"","16731","register new user","chromium","2026-07-21","failed","2026-07-21","","","",""
"","7019","login test","chromium","2026-07-21","passed","2026-07-21","","","",""
